,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,0.0,21.0,0.0,1.0,1.0,1.0,1.0,1695.05,0.0,0.036143831796933625,20.0,21.0
ADWIN,15.0,2.0,18.0,0.11764705882352941,0.1,0.1,0.1081081081081081,-1704.0,0.025817022712095447,0.029259292407041507,20.0,17.0
CUSUM,95.0,2.0,18.0,0.020618556701030927,0.1,0.1,0.03418803418803419,-2919.0,0.16350781050993782,0.16695008020488392,20.0,97.0
DDM,7.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.01204794393231121,0.01204794393231121,20.0,7.0
EWMAChart,372.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.6402621632599671,0.6402621632599671,20.0,372.0
GeometricMovingAverage,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,0.0
HDDMAverage,27.0,6.0,17.0,0.18181818181818182,0.2608695652173913,0.15,0.21428571428571427,324.0,0.04647064088177181,0.056797449966609986,20.0,33.0
HDDMWeighted,1384.0,44.0,3.0,0.03081232492997199,0.9361702127659575,0.85,0.059661016949152545,-916.9411764705883,2.382050628902673,2.4577805621914868,20.0,1428.0
PageHinkley,19.0,1.0,19.0,0.05,0.05,0.05,0.05000000000000001,-3874.0,0.03270156210198757,0.034422696949460596,20.0,20.0
RDDM,250.0,7.0,15.0,0.027237354085603113,0.3181818181818182,0.25,0.050179211469534045,-3217.4,0.4302837118682574,0.44233165580056866,20.0,257.0
SEED,81.0,28.0,0.0,0.25688073394495414,1.0,1.0,0.40875912408759124,-211.1,0.1394119226453154,0.18760369837456026,20.0,109.0
STEPD,1565.0,81.0,0.0,0.049210206561360874,1.0,1.0,0.09380428488708743,-2110.75,2.6935760362952914,2.832987958940607,20.0,1646.0
STUDD,467.0,121.0,0.0,0.20578231292517007,1.0,1.0,0.3413258110014104,-85.8,0.803769973769905,1.0120272903141416,20.0,588.0
